SampleNames:	HSPb11_NTC_01	HSPb11_NT1_01	HSPb11_HT1_01	HSPb11_ST1_01	HSPb11_NC1_01	HSPb11_HC1_01	HSPb11_SC1_01	HSPb11_NTC_01	GDF-8_NTC_01	GDF-8_NT1_01	GDF-8_HT1_01	GDF-8_ST1_01	GDF-8_NC1_01	GDF-8_HC1_01	GDF-8_SC1_01	GDF-8_NTC_01	HSP70b_NTC_01	HSP70b_NT1_01	HSP70b_HT1_01	HSP70b_ST1_01	HSP70b_NC1_01	HSP70b_HC1_01	HSP70b_SC1_01	HSP70b_NTC_01	GRF-78_NTC_01	GRF-78_NT1_01	GRF-78_HT1_01	GRF-78_ST1_01	GRF-78_NC1_01	GRF-78_HC1_01	GRF-78_SC1_01	GRF-78_NTC_01	CARM1_NTC_01	CARM1_NT1_01	CARM1_HT1_01	CARM1_ST1_01	CARM1_NC1_01	CARM1_HC1_01	CARM1_SC1_01	CARM1_NTC_01	BMP2_NTC_01	BMP2_NT1_01	BMP2_HT1_01	BMP2_ST1_01	BMP2_NC1_01	BMP2_HC1_01	BMP2_SC1_01	BMP2_NTC_01	PGE/EP4_NTC_01	PGE/EP4_NT1_01	PGE/EP4_HT1_01	PGE/EP4_ST1_01	PGE/EP4_NC1_01	PGE/EP4_HC1_01	PGE/EP4_SC1_01	PGE/EP4_NTC_01	CRAF1_NTC_01	CRAF1_NT1_01	CRAF1_HT1_01	CRAF1_ST1_01	CRAF1_NC1_01	CRAF1_HC1_01	CRAF1_SC1_01	CRAF1_NTC_01	NFKBina_NTC_01	NFKBina_NT1_01	NFKBina_HT1_01	NFKBina_ST1_01	NFKBina_NC1_01	NFKBina_HC1_01	NFKBina_SC1_01	NFKBina_NTC_01	PGRP-S_NTC_01	PGRP-S_NT1_01	PGRP-S_HT1_01	PGRP-S_ST1_01	PGRP-S_NC1_01	PGRP-S_HC1_01	PGRP-S_SC1_01	PGRP-S_NTC_01	TLR2.1_NTC_01	TLR2.1_NT1_01	TLR2.1_HT1_01	TLR2.1_ST1_01	TLR2.1_NC1_01	TLR2.1_HC1_01	TLR2.1_SC1_01	TLR2.1_NTC_01	GDF-8b_NTC_01	GDF-8b_NT1_01	GDF-8b_HT1_01	GDF-8b_ST1_01	GDF-8b_NC1_01	GDF-8b_HC1_01	GDF-8b_SC1_01	GDF-8b_NTC_01
Stdev_OfGenesEfficiency:	0.00524927	0.00663061	0.00697712	0.00574837	0.00518911	0.00181177	0.00868414	0.0100876	0.00547101	0.00508959	0.00575271	0.00342159																																																																																				
MeanCV%_OfGenesEfficiencies	0	0.254549	0.572675	0	0.0383965	0	0	0	0	0	0	0																																																																																				
MeanCV%_OfGenesCTs	0	0.417845	0.151507	0	0.274327	0	0	0	0	0	0	0																																																																																				
																																																																																																
																																																																																																
ReplicateSampleNames:	HSPb11_NTC	HSPb11_NT1	HSPb11_HT1	HSPb11_ST1	HSPb11_NC1	HSPb11_HC1	HSPb11_SC1	GDF-8_NTC	GDF-8_NT1	GDF-8_HT1	GDF-8_ST1	GDF-8_NC1	GDF-8_HC1	GDF-8_SC1	HSP70b_NTC	HSP70b_NT1	HSP70b_HT1	HSP70b_ST1	HSP70b_NC1	HSP70b_HC1	HSP70b_SC1	GRF-78_NTC	GRF-78_NT1	GRF-78_HT1	GRF-78_ST1	GRF-78_NC1	GRF-78_HC1	GRF-78_SC1	CARM1_NTC	CARM1_NT1	CARM1_HT1	CARM1_ST1	CARM1_NC1	CARM1_HC1	CARM1_SC1	BMP2_NTC	BMP2_NT1	BMP2_HT1	BMP2_ST1	BMP2_NC1	BMP2_HC1	BMP2_SC1	PGE/EP4_NTC	PGE/EP4_NT1	PGE/EP4_HT1	PGE/EP4_ST1	PGE/EP4_NC1	PGE/EP4_HC1	PGE/EP4_SC1	CRAF1_NTC	CRAF1_NT1	CRAF1_HT1	CRAF1_ST1	CRAF1_NC1	CRAF1_HC1	CRAF1_SC1	NFKBina_NTC	NFKBina_NT1	NFKBina_HT1	NFKBina_ST1	NFKBina_NC1	NFKBina_HC1	NFKBina_SC1	PGRP-S_NTC	PGRP-S_NT1	PGRP-S_HT1	PGRP-S_ST1	PGRP-S_NC1	PGRP-S_HC1	PGRP-S_SC1	TLR2.1_NTC	TLR2.1_NT1	TLR2.1_HT1	TLR2.1_ST1	TLR2.1_NC1	TLR2.1_HC1	TLR2.1_SC1	GDF-8b_NTC	GDF-8b_NT1	GDF-8b_HT1	GDF-8b_ST1	GDF-8b_NC1	GDF-8b_HC1	GDF-8b_SC1												
	#VALUE!	6.23568E-09	#VALUE!	8.024E-09	1.44025E-08	2.1255E-08	1.69667E-08	3.88873E-10	6.67443E-10	3.96969E-10	4.76892E-10	1.36665E-09	1.44935E-09	8.34992E-10	3.79396E-09	4.24801E-09	4.99567E-09	5.5857E-09	7.69109E-09	1.45373E-08	9.20665E-09	#VALUE!	5.79337E-10	#VALUE!	#VALUE!	#VALUE!	6.79599E-10	8.93261E-10	4.59583E-10	5.04593E-09	3.10023E-09	2.23772E-09	1.54795E-08	1.58087E-08	2.10539E-08	#VALUE!	6.74276E-09	3.29566E-09	7.6489E-09	1.16712E-08	1.97555E-08	3.42959E-08	3.76134E-10	1.51014E-09	4.13754E-10	9.4449E-10	#VALUE!	4.78048E-09	8.13957E-09	#VALUE!	1.68889E-09	1.71378E-09	2.26884E-09	1.76209E-09	9.85008E-09	9.2874E-09	#VALUE!	3.48184E-10	#VALUE!	#VALUE!	8.54797E-10	#VALUE!	#VALUE!	#VALUE!	3.21507E-10	#VALUE!	4.35746E-10	3.20486E-10	#VALUE!	3.33349E-10	#VALUE!	3.36027E-10	#VALUE!	5.9564E-10	5.73297E-10	#VALUE!	7.57803E-10	#VALUE!	4.60649E-10	3.12239E-10	#VALUE!	9.77504E-10	1.08518E-09	1.67528E-09												
																																																																																																
																																																																																																
	Actin_NTC	Actin_NT1	Actin_HT1	Actin_ST1	Actin_NC1	Actin_HC1	Actin_SC1																																																																																									
	#VALUE!	9.25685E-08	2.91864E-08	1.95737E-08	9.1437E-08	1.74883E-07	3.28858E-07																																																																																									
	NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control														
Normalized Value	HSPb11_NTC	HSPb11_NT1	HSPb11_HT1	HSPb11_ST1	HSPb11_NC1	HSPb11_HC1	HSPb11_SC1	GDF-8_NTC	GDF-8_NT1	GDF-8_HT1	GDF-8_ST1	GDF-8_NC1	GDF-8_HC1	GDF-8_SC1	HSP70b_NTC	HSP70b_NT1	HSP70b_HT1	HSP70b_ST1	HSP70b_NC1	HSP70b_HC1	HSP70b_SC1	GRF-78_NTC	GRF-78_NT1	GRF-78_HT1	GRF-78_ST1	GRF-78_NC1	GRF-78_HC1	GRF-78_SC1	CARM1_NTC	CARM1_NT1	CARM1_HT1	CARM1_ST1	CARM1_NC1	CARM1_HC1	CARM1_SC1	BMP2_NTC	BMP2_NT1	BMP2_HT1	BMP2_ST1	BMP2_NC1	BMP2_HC1	BMP2_SC1	PGE/EP4_NTC	PGE/EP4_NT1	PGE/EP4_HT1	PGE/EP4_ST1	PGE/EP4_NC1	PGE/EP4_HC1	PGE/EP4_SC1	CRAF1_NTC	CRAF1_NT1	CRAF1_HT1	CRAF1_ST1	CRAF1_NC1	CRAF1_HC1	CRAF1_SC1	NFKBina_NTC	NFKBina_NT1	NFKBina_HT1	NFKBina_ST1	NFKBina_NC1	NFKBina_HC1	NFKBina_SC1	PGRP-S_NTC	PGRP-S_NT1	PGRP-S_HT1	PGRP-S_ST1	PGRP-S_NC1	PGRP-S_HC1	PGRP-S_SC1	TLR2.1_NTC	TLR2.1_NT1	TLR2.1_HT1	TLR2.1_ST1	TLR2.1_NC1	TLR2.1_HC1	TLR2.1_SC1	GDF-8b_NTC	GDF-8b_NT1	GDF-8b_HT1	GDF-8b_ST1	GDF-8b_NC1	GDF-8b_HC1	GDF-8b_SC1												
	#VALUE!	0.067362883	#VALUE!	0.409936909	0.157512333	0.121538673	0.051592759	#VALUE!	0.007210266	0.013601171	0.024363841	0.014946309	0.008287584	0.002539069	#VALUE!	0.045890481	0.171164388	0.285367046	0.084113503	0.083126122	0.027995855	#VALUE!	0.006258466	#VALUE!	#VALUE!	#VALUE!	0.003886031	0.002716255	#VALUE!	0.054510186	0.106221827	0.114322314	0.169291301	0.090396324	0.064021227	#VALUE!	0.072840799	0.112917752	0.390773658	0.127642355	0.112964269	0.104287986	#VALUE!	0.016313791	0.014176265	0.048252891	#VALUE!	0.027335384	0.02475104	#VALUE!	0.018244742	0.058718319	0.11591223	0.019271094	0.056323924	0.028241398	#VALUE!	0.003761371	#VALUE!	#VALUE!	0.009348475	#VALUE!	#VALUE!	#VALUE!	0.003473176	#VALUE!	0.022261751	0.003504987	#VALUE!	0.001013659	#VALUE!	0.003630035	#VALUE!	0.030430582	0.006269858	#VALUE!	0.002304351	#VALUE!	0.004976302	0.010698089	#VALUE!	0.010690456	0.006205197	0.005094252												
																																																																																																
																																																																																																
		Heat Shock			Control				Heat Shock			Control				Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control			NTC	Heat Shock			Control														
		Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay		Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay		Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay	NTC	Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay	NTC	Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay	NTC	Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay	NTC	Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay	NTC	Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay	NTC	Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay	NTC	Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay	NTC	Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay	NTC	Fidalgo	Dabob	Oyster Bay	Fidalgo	Dabob	Oyster Bay												
		0.067362883	#VALUE!	0.409936909	0.157512333	0.121538673	0.051592759		0.007210266	0.013601171	0.024363841	0.014946309	0.008287584	0.002539069		0.045890481	0.171164388	0.285367046	0.084113503	0.083126122	0.027995855	#VALUE!	0.006258466	#VALUE!	#VALUE!	#VALUE!	0.003886031	0.002716255	#VALUE!	0.054510186	0.106221827	0.114322314	0.169291301	0.090396324	0.064021227	#VALUE!	0.072840799	0.112917752	0.390773658	0.127642355	0.112964269	0.104287986	#VALUE!	0.016313791	0.014176265	0.048252891	#VALUE!	0.027335384	0.02475104	#VALUE!	0.018244742	0.058718319	0.11591223	0.019271094	0.056323924	0.028241398	#VALUE!	0.003761371	#VALUE!	#VALUE!	0.009348475	#VALUE!	#VALUE!	#VALUE!	0.003473176	#VALUE!	0.022261751	0.003504987	#VALUE!	0.001013659	#VALUE!	0.003630035	#VALUE!	0.030430582	0.006269858	#VALUE!	0.002304351	#VALUE!	0.004976302	0.010698089	#VALUE!	0.010690456	0.006205197	0.005094252												
